N T LP_floor IP_lower LP_upper dual_sortedness
40120 13374 40109 40117 40117.86053241 sorted
40121 13374 40112 40118 40118.97395833 sorted
40122 13374 40114 40120 40120.08969907 sorted
40123 13375 40114 40120 40120.77719907 sorted
40124 13375 40115 40121 40121.88599537 sorted
40125 13375 40115 40123 40123.00173611 sorted
40126 13376 40115 40123 40123.19965278 sorted
40127 13376 40117 40124 40124.19965278 sorted
40128 13376 40119 40125 40125.31539352 sorted
40129 13377 40120 40126 40126.31539352 sorted
40130 13377 40120 40127 40127.41145833 sorted
40131 13377 40121 40128 40128.52719907 sorted
40132 13378 40124 40129 40129.64293981 sorted
40133 13378 40123 40130 40130.75636574 sorted
40134 13378 40127 40131 40131.87210648 sorted
40135 13379 40127 40132 40132.72858796 sorted
40136 13379 40128 40133 40133.84317130 sorted
40137 13379 40129 40134 40134.95891204 sorted
40138 13380 40129 40135 40135.72048611 sorted
40139 13380 40131 40136 40136.83449074 sorted
40140 13380 40131 40137 40137.95023148 sorted
40141 13381 40134 40138 40138.64814815 sorted
40142 13381 40134 40139 40139.72106481 sorted
40143 13381 40134 40140 40140.83680556 sorted
40144 13382 40137 40141 40141.73263889 sorted
40145 13382 40136 40142 40142.84722222 sorted
40146 13382 40137 40143 40143.96296296 sorted
40147 13383 40137 40144 40144.81134259 sorted
40148 13383 40140 40145 40145.88425926 sorted
40149 13383 40147 40147 40147.00000000 sorted
40150 13384 40141 40147 40147.83333333 sorted
40151 13384 40142 40148 40148.83333333 sorted
40152 13384 40145 40149 40149.94907407 sorted
40153 13385 40145 40150 40150.56018519 sorted
40154 13385 40145 40151 40151.66898148 sorted
40155 13385 40146 40152 40152.78472222 sorted
40156 13386 40148 40153 40153.56250000 sorted
40157 13386 40147 40154 40154.66319444 sorted
40158 13386 40149 40155 40155.77893519 sorted
40159 13387 40149 40156 40156.71990741 sorted
40160 13387 40153 40157 40157.83333333 sorted
40161 13387 40152 40158 40158.94907407 sorted
40162 13388 40151 40159 40159.75810185 sorted
40163 13388 40153 40160 40160.75810185 sorted
40164 13388 40156 40161 40161.87384259 sorted
40165 13389 40157 40162 40162.70949074 sorted
40166 13389 40157 40163 40163.82638889 sorted
40167 13389 40155 40164 40164.94212963 sorted
40168 13390 40158 40165 40165.77430556 sorted
40169 13390 40160 40166 40166.77430556 sorted
40170 13390 40161 40167 40167.89004630 sorted
40171 13391 40161 40168 40168.80787037 sorted
40172 13391 40166 40169 40169.92245370 sorted
40173 13391 40164 40171 40171.03819444 sorted
40174 13392 40166 40171 40171.85995370 sorted
40175 13392 40166 40172 40172.96643519 sorted
40176 13392 40168 40174 40174.08217593 sorted
40177 13393 40168 40175 40175.08217593 sorted
40178 13393 40170 40176 40176.15509259 sorted
40179 13393 40171 40177 40177.27083333 sorted
40180 13394 40171 40177 40177.97627315 sorted
40181 13394 40172 40179 40179.08738426 sorted
40182 13394 40173 40180 40180.20312500 sorted
40183 13395 40174 40181 40181.05960648 sorted
40184 13395 40175 40182 40182.16261574 sorted
40185 13395 40177 40183 40183.27835648 sorted
40186 13396 40175 40183 40183.68576389 sorted
40187 13396 40179 40184 40184.77517361 sorted
40188 13396 40180 40185 40185.89062500 sorted
40189 13397 40179 40186 40186.53472222 sorted
40190 13397 40180 40187 40187.63107639 sorted
40191 13397 40182 40188 40188.74652778 sorted
40192 13398 40182 40189 40189.64236111 sorted
40193 13398 40183 40190 40190.64236111 sorted
40194 13398 40185 40191 40191.75781250 sorted
40195 13399 40186 40192 40192.71411483 sorted
40196 13399 40187 40193 40193.82595694 sorted
40197 13399 40187 40194 40194.94138756 sorted
40198 13400 40190 40195 40195.83791866 sorted
40199 13400 40190 40196 40196.95035885 sorted
40200 13400 40190 40198 40198.06578947 sorted
40201 13401 40191 40198 40198.85442221 sorted
40202 13401 40194 40199 40199.92737250 sorted
40203 13401 40194 40201 40201.04293092 sorted
40204 13402 40195 40201 40201.86152356 sorted
40205 13402 40197 40202 40202.97643641 sorted
40206 13402 40197 40204 40204.09199484 sorted
40207 13403 40197 40204 40204.94512589 sorted
40208 13403 40200 40206 40206.05939316 sorted
40209 13403 40202 40207 40207.17495158 sorted
40210 13404 40201 40207 40207.96901227 sorted
40211 13404 40203 40209 40209.08263396 sorted
40212 13404 40204 40210 40210.19819238 sorted
40213 13405 40203 40210 40210.89606198 sorted
40214 13405 40205 40211 40211.96901227 sorted
40215 13405 40205 40213 40213.08457069 sorted
40216 13406 40208 40213 40213.85926404 sorted
40217 13406 40210 40214 40214.97482247 sorted
40218 13406 40211 40216 40216.09038089 sorted
40219 13407 40211 40216 40216.94448031 sorted
40220 13407 40211 40218 40218.05487411 sorted
40221 13407 40213 40219 40219.17043254 sorted
40222 13408 40213 40219 40219.92511298 sorted
40223 13408 40214 40221 40221.03970303 sorted
40224 13408 40216 40222 40222.15526146 sorted
40225 13409 40217 40222 40222.95255003 sorted
40226 13409 40216 40224 40224.02550032 sorted
40227 13409 40218 40225 40225.14105875 sorted
40228 13410 40220 40226 40226.25661717 sorted
40229 13410 40222 40227 40227.36830213 sorted
40230 13410 40223 40228 40228.48386056 sorted
40231 13411 40222 40229 40229.13395739 sorted
40232 13411 40224 40230 40230.24887024 sorted
40233 13411 40225 40231 40231.36442866 sorted
40234 13412 40226 40232 40232.21852808 sorted
40235 13412 40226 40233 40233.33214977 sorted
40236 13412 40228 40234 40234.44770820 sorted
40237 13413 40229 40235 40235.14945126 sorted
40238 13413 40230 40236 40236.26533247 sorted
40239 13413 40231 40237 40237.38089090 sorted
40240 13414 40231 40238 40238.10006456 sorted
40241 13414 40232 40239 40239.10006456 sorted
40242 13414 40233 40240 40240.21562298 sorted
40243 13415 40234 40240 40240.93673338 sorted
40244 13415 40236 40242 40242.00968367 sorted
40245 13415 40236 40243 40243.12524209 sorted
40246 13416 40236 40243 40243.90768238 sorted
40247 13416 40238 40245 40245.02194964 sorted
40248 13416 40239 40246 40246.13750807 sorted
40249 13417 40238 40246 40246.95225694 sorted
40250 13417 40240 40248 40248.06770833 sorted
40251 13417 40243 40249 40249.18315972 sorted
40252 13418 40242 40250 40250.07899306 sorted
40253 13418 40244 40251 40251.07899306 sorted
40254 13418 40245 40252 40252.19444444 sorted
40255 13419 40246 40253 40253.05381944 sorted
40256 13419 40249 40254 40254.16840278 sorted
40257 13419 40248 40255 40255.28385417 sorted
40258 13420 40250 40256 40256.32177033 sorted
40259 13420 40251 40257 40257.43600478 sorted
40260 13420 40250 40258 40258.55143541 sorted
40261 13421 40252 40259 40259.66507177 sorted
40262 13421 40253 40260 40260.77811005 sorted
40263 13421 40253 40261 40261.89354067 sorted
40264 13422 40258 40262 40262.78887560 sorted
40265 13422 40257 40263 40263.88516746 sorted
40266 13422 40260 40265 40265.00059809 sorted
40267 13423 40259 40265 40265.82206938 sorted
40268 13423 40259 40266 40266.89503589 sorted
40269 13423 40260 40267 40268.01046651 sorted
40270 13424 40262 40268 40268.77302632 sorted
40271 13424 40263 40269 40269.88726077 sorted
40272 13424 40265 40271 40271.00269139 sorted
40273 13425 40265 40271 40271.82984450 sorted
40274 13425 40265 40272 40272.94168660 sorted
40275 13425 40265 40274 40274.05711722 sorted
40276 13426 40269 40274 40274.78830084 sorted
40277 13426 40269 40275 40275.78830084 sorted
40278 13426 40272 40276 40276.90362117 sorted
40279 13427 40269 40277 40277.68173015 sorted
40280 13427 40270 40278 40278.79728857 sorted
40281 13427 40272 40279 40279.91284700 sorted
40282 13428 40273 40280 40280.70891365 sorted
40283 13428 40274 40281 40281.70891365 sorted
40284 13428 40275 40282 40282.82423398 sorted
40285 13429 40276 40283 40283.57576602 sorted
40286 13429 40278 40284 40284.64874652 sorted
40287 13429 40278 40285 40285.76406685 sorted
40288 13430 40280 40286 40286.57242340 sorted
40289 13430 40282 40287 40287.57242340 sorted
40290 13430 40281 40288 40288.68774373 sorted
40291 13431 40284 40289 40289.22498386 sorted
40292 13431 40284 40290 40290.33344093 sorted
40293 13431 40286 40291 40291.44899935 sorted
40294 13432 40285 40292 40292.18314425 sorted
40295 13432 40284 40293 40293.27930848 sorted
40296 13432 40288 40294 40294.39492166 sorted
40297 13433 40286 40295 40295.41982235 sorted
40298 13433 40287 40296 40296.49275362 sorted
40299 13433 40289 40297 40297.60822814 sorted
40300 13434 40291 40298 40298.51357642 sorted
40301 13434 40291 40299 40299.62761831 sorted
40302 13434 40293 40300 40300.74321179 sorted
40303 13435 40293 40301 40301.56283941 sorted
40304 13435 40294 40302 40302.67765710 sorted
40305 13435 40295 40303 40303.79325058 sorted
40306 13436 40296 40304 40304.61093871 sorted
40307 13436 40297 40305 40305.72032583 sorted
40308 13436 40299 40306 40306.83591932 sorted
40309 13437 40300 40307 40307.67067494 sorted
40310 13437 40301 40308 40308.78665632 sorted
40311 13437 40303 40309 40309.90224981 sorted
40312 13438 40303 40310 40310.71217998 sorted
40313 13438 40304 40311 40311.82622188 sorted
40314 13438 40305 40312 40312.94181536 sorted
40315 13439 40306 40313 40313.79751746 sorted
40316 13439 40308 40314 40314.87044220 sorted
40317 13439 40309 40315 40315.98603569 sorted
40318 13440 40309 40316 40316.64399252 sorted
40319 13440 40310 40317 40317.75455820 sorted
40320 13440 40310 40318 40318.87003273 sorted
40321 13441 40312 40319 40319.65655340 sorted
40322 13441 40312 40320 40320.72936893 sorted
40323 13441 40314 40321 40321.84506472 sorted
40324 13442 40315 40322 40322.74069579 sorted
40325 13442 40316 40323 40323.84749191 sorted
40326 13442 40317 40324 40324.96318770 sorted
40327 13443 40320 40325 40325.65397351 sorted
40328 13443 40319 40326 40326.76986755 sorted
40329 13443 40321 40327 40327.88576159 sorted
40330 13444 40320 40328 40328.73178808 sorted
40331 13444 40321 40329 40329.84105960 sorted
40332 13444 40325 40330 40330.95695364 sorted
40333 13445 40322 40331 40331.79139073 sorted
40334 13445 40325 40332 40332.90728477 sorted
40335 13445 40326 40334 40334.02317881 sorted
