N T LP_floor IP_lower LP_upper dual_sortedness
41306 13769 41299 41305 41305.87908497 sorted
41307 13769 41301 41306 41306.99428105 sorted
41308 13770 41300 41307 41307.74836601 sorted
41309 13770 41302 41308 41308.86192810 sorted
41310 13770 41303 41309 41309.97712418 sorted
41311 13771 41305 41310 41310.84636488 sorted
41312 13771 41308 41311 41311.95816187 sorted
41313 13771 41309 41313 41313.07338820 sorted
41314 13772 41309 41313 41313.80041152 sorted
41315 13772 41309 41314 41314.89677641 sorted
41316 13772 41310 41316 41316.01200274 sorted
41317 13773 41310 41316 41316.80692730 sorted
41318 13773 41312 41317 41317.92078189 sorted
41319 13773 41312 41319 41319.03600823 sorted
41320 13774 41314 41319 41319.87448560 sorted
41321 13774 41316 41320 41320.96364883 sorted
41322 13774 41316 41322 41322.07887517 sorted
41323 13775 41318 41322 41322.74965706 sorted
41324 13775 41319 41323 41323.82235940 sorted
41325 13775 41318 41324 41324.93758573 sorted
41326 13776 41319 41326 41326.01028807 sorted
41327 13776 41321 41327 41327.12482853 sorted
41328 13776 41324 41328 41328.24005487 sorted
41329 13777 41322 41328 41328.35168869 sorted
41330 13777 41324 41329 41329.44787078 sorted
41331 13777 41324 41330 41330.56314244 sorted
41332 13778 41325 41331 41331.33186490 sorted
41333 13778 41326 41332 41332.33186490 sorted
41334 13778 41327 41333 41333.44713656 sorted
41335 13779 41328 41334 41334.27753304 sorted
41336 13779 41328 41335 41335.38032305 sorted
41337 13779 41329 41336 41336.49559471 sorted
41338 13780 41331 41337 41337.30469897 sorted
41339 13780 41332 41338 41338.41629956 sorted
41340 13780 41332 41339 41339.53157122 sorted
41341 13781 41334 41340 41340.53157122 sorted
41342 13781 41334 41341 41341.63950073 sorted
41343 13781 41337 41342 41342.75477239 sorted
41344 13782 41339 41343 41343.65124816 sorted
41345 13782 41339 41344 41344.74743025 sorted
41346 13782 41341 41345 41345.86270191 sorted
41347 13783 41340 41346 41346.68649046 sorted
41348 13783 41342 41347 41347.75917768 sorted
41349 13783 41344 41348 41348.87444934 sorted
41350 13784 41343 41349 41349.64684288 sorted
41351 13784 41345 41350 41350.64684288 sorted
41352 13784 41345 41351 41351.76211454 sorted
41353 13785 41347 41352 41352.56314244 sorted
41354 13785 41348 41353 41353.67767988 sorted
41355 13785 41348 41354 41354.79295154 sorted
41356 13786 41349 41355 41355.60939794 sorted
41357 13786 41350 41356 41356.60939794 sorted
41358 13786 41352 41357 41357.72466960 sorted
41359 13787 41352 41358 41358.83773862 sorted
41360 13787 41353 41359 41359.95301028 sorted
41361 13787 41354 41361 41361.06828194 sorted
41362 13788 41356 41361 41361.84140969 sorted
41363 13788 41357 41362 41362.95447871 sorted
41364 13788 41357 41364 41364.06975037 sorted
41365 13789 41359 41364 41364.92804699 sorted
41366 13789 41359 41366 41366.04258443 sorted
41367 13789 41361 41367 41367.15785609 sorted
41368 13790 41362 41368 41368.04258443 sorted
41369 13790 41362 41369 41369.15418502 sorted
41370 13790 41363 41370 41370.26945668 sorted
41371 13791 41364 41371 41371.22099853 sorted
41372 13791 41366 41372 41372.29368576 sorted
41373 13791 41367 41373 41373.40895742 sorted
41374 13792 41368 41374 41374.25330396 sorted
41375 13792 41370 41375 41375.36784141 sorted
41376 13792 41371 41376 41376.48311307 sorted
41377 13793 41370 41377 41377.24522761 sorted
41378 13793 41372 41378 41378.35462555 sorted
41379 13793 41374 41379 41379.46989721 sorted
41380 13794 41374 41380 41380.29368576 sorted
41381 13794 41374 41381 41381.29368576 sorted
41382 13794 41376 41382 41382.40895742 sorted
41383 13795 41376 41383 41383.13031550 sorted
41384 13795 41379 41384 41384.24417010 sorted
41385 13795 41380 41385 41385.35939643 sorted
41386 13796 41379 41385 41385.78737997 sorted
41387 13796 41381 41386 41386.78737997 sorted
41388 13796 41381 41387 41387.90260631 sorted
41389 13797 41382 41388 41388.62277092 sorted
41390 13797 41384 41389 41389.71879287 sorted
41391 13797 41385 41390 41390.83401920 sorted
41392 13798 41386 41391 41391.94787380 sorted
41393 13798 41386 41393 41393.06310014 sorted
41394 13798 41387 41394 41394.17832647 sorted
41395 13799 41387 41395 41395.03703704 sorted
41396 13799 41390 41396 41396.15089163 sorted
41397 13799 41392 41397 41397.26611797 sorted
41398 13800 41393 41398 41398.15637860 sorted
41399 13800 41394 41399 41399.15637860 sorted
41400 13800 41396 41400 41400.27160494 sorted
41401 13801 41395 41400 41400.84686775 sorted
41402 13801 41396 41401 41401.96287704 sorted
41403 13801 41397 41403 41403.07811292 sorted
41404 13802 41398 41403 41403.93348801 sorted
41405 13802 41399 41405 41405.04872390 sorted
41406 13802 41401 41406 41406.16395979 sorted
41407 13803 41400 41406 41406.96365043 sorted
41408 13803 41401 41408 41408.07579273 sorted
41409 13803 41403 41409 41409.19102862 sorted
41410 13804 41403 41409 41409.97196262 sorted
41411 13804 41404 41410 41410.97196262 sorted
41412 13804 41406 41412 41412.08722740 sorted
41413 13805 41403 41412 41412.68600155 sorted
41414 13805 41407 41413 41413.75870070 sorted
41415 13805 41407 41414 41414.87393658 sorted
41416 13806 41410 41415 41415.60634184 sorted
41417 13806 41408 41416 41416.71925754 sorted
41418 13806 41412 41417 41417.83449343 sorted
41419 13807 41413 41418 41418.91140246 sorted
41420 13807 41415 41420 41420.02522845 sorted
41421 13807 41416 41421 41421.14044497 sorted
41422 13808 41417 41422 41422.03734605 sorted
41423 13808 41417 41423 41423.14819229 sorted
41424 13808 41418 41424 41424.26340882 sorted
41425 13809 41420 41425 41425.07469209 sorted
41426 13809 41420 41426 41426.18831943 sorted
41427 13809 41421 41427 41427.30353596 sorted
41428 13810 41422 41428 41428.10448947 sorted
41429 13810 41423 41429 41429.21354787 sorted
41430 13810 41424 41430 41430.32876440 sorted
41431 13811 41424 41431 41431.12534764 sorted
41432 13811 41426 41432 41432.22824791 sorted
41433 13811 41427 41433 41433.34346444 sorted
41434 13812 41428 41434 41434.11998411 sorted
41435 13812 41429 41435 41435.21593166 sorted
41436 13812 41430 41436 41436.33114819 sorted
41437 13813 41431 41437 41437.12971792 sorted
41438 13813 41432 41438 41438.20242352 sorted
41439 13813 41433 41439 41439.31764005 sorted
41440 13814 41434 41440 41440.12693683 sorted
41441 13814 41436 41441 41441.23818037 sorted
41442 13814 41437 41442 41442.35339690 sorted
41443 13815 41437 41443 41443.09833135 sorted
41444 13815 41438 41444 41444.20977354 sorted
41445 13815 41440 41445 41445.32499007 sorted
41446 13816 41440 41446 41446.09197457 sorted
41447 13816 41440 41447 41447.20580056 sorted
41448 13816 41441 41448 41448.32101708 sorted
41449 13817 41443 41449 41449.27691696 sorted
41450 13817 41443 41450 41450.38994835 sorted
41451 13817 41445 41451 41451.50516488 sorted
41452 13818 41446 41452 41452.24252874 sorted
41453 13818 41447 41453 41453.24252874 sorted
41454 13818 41448 41454 41454.35775862 sorted
41455 13819 41450 41455 41455.20455946 sorted
41456 13819 41450 41456 41456.30745533 sorted
41457 13819 41452 41457 41457.42267406 sorted
41458 13820 41452 41458 41458.24645718 sorted
41459 13820 41453 41459 41459.35243376 sorted
41460 13820 41455 41460 41460.46765249 sorted
41461 13821 41457 41461 41461.26062847 sorted
41462 13821 41462 41462 41462.33333333 sorted
41463 13821 41459 41463 41463.44855206 sorted
41464 13822 41459 41464 41464.18607517 sorted
41465 13822 41459 41465 41465.28219347 sorted
41466 13822 41460 41466 41466.39741220 sorted
41467 13823 41461 41467 41467.14232902 sorted
41468 13823 41463 41468 41468.25015404 sorted
41469 13823 41463 41469 41469.36537277 sorted
41470 13824 41464 41470 41470.18237831 sorted
41471 13824 41466 41471 41471.29698090 sorted
41472 13824 41466 41472 41472.41219963 sorted
41473 13825 41467 41473 41473.33824303 sorted
41474 13825 41467 41474 41474.45186744 sorted
41475 13825 41468 41475 41475.56706996 sorted
41476 13826 41471 41476 41476.04976959 sorted
41477 13826 41471 41477 41477.16589862 sorted
41478 13826 41472 41478 41478.28110599 sorted
41479 13827 41473 41478 41478.93824885 sorted
41480 13827 41474 41480 41480.05253456 sorted
41481 13827 41476 41481 41481.16774194 sorted
41482 13828 41474 41482 41482.00184332 sorted
41483 13828 41477 41483 41483.10230415 sorted
41484 13828 41478 41484 41484.21751152 sorted
41485 13829 41478 41485 41485.03686636 sorted
41486 13829 41481 41486 41486.10967742 sorted
41487 13829 41481 41487 41487.22488479 sorted
41488 13830 41480 41488 41488.10967742 sorted
41489 13830 41483 41489 41489.19815668 sorted
41490 13830 41483 41490 41490.31336406 sorted
41491 13831 41484 41491 41491.06451613 sorted
41492 13831 41485 41492 41492.17972350 sorted
41493 13831 41485 41493 41493.29493088 sorted
41494 13832 41485 41494 41494.14930876 sorted
41495 13832 41489 41495 41495.26359447 sorted
41496 13832 41491 41496 41496.37880184 sorted
41497 13833 41492 41497 41497.48755760 sorted
41498 13833 41494 41498 41498.56036866 sorted
41499 13833 41493 41499 41499.67557604 sorted
41500 13834 41491 41499 41499.90322581 sorted
41501 13834 41494 41501 41501.01474654 sorted
41502 13834 41496 41502 41502.12995392 sorted
41503 13835 41495 41502 41502.98986175 sorted
41504 13835 41496 41504 41504.10230415 sorted
41505 13835 41498 41505 41505.21751152 sorted
41506 13836 41506 41506 41506.00000000 sorted
41507 13836 41507 41507 41507.00000000 sorted
41508 13836 41502 41508 41508.11520737 sorted
41509 13837 41502 41508 41508.93087558 sorted
41510 13837 41504 41510 41510.04239631 sorted
41511 13837 41503 41511 41511.15760369 sorted
41512 13838 41505 41511 41511.69861751 sorted
41513 13838 41506 41512 41512.69861751 sorted
41514 13838 41508 41513 41513.81382488 sorted
41515 13839 41508 41514 41514.92903226 sorted
41516 13839 41508 41516 41516.04331797 sorted
41517 13839 41508 41517 41517.15852535 sorted
41518 13840 41513 41517 41517.88294931 sorted
41519 13840 41512 41518 41518.88294931 sorted
41520 13840 41513 41519 41519.99815668 sorted
41521 13841 41513 41520 41520.77603687 sorted
41522 13841 41514 41521 41521.88755760 sorted
41523 13841 41515 41523 41523.00276498 sorted
41524 13842 41517 41523 41523.89216590 sorted
41525 13842 41518 41525 41525.00645161 sorted
41526 13842 41518 41526 41526.12165899 sorted
41527 13843 41519 41526 41526.93732719 sorted
41528 13843 41518 41528 41528.05069124 sorted
41529 13843 41521 41529 41529.16589862 sorted
41530 13844 41523 41529 41529.35207373 sorted
41531 13844 41523 41530 41530.46543779 sorted
41532 13844 41524 41531 41531.58064516 sorted
41533 13845 41524 41532 41532.41658986 sorted
41534 13845 41526 41533 41533.52903226 sorted
41535 13845 41527 41534 41534.64423963 sorted
41536 13846 41528 41535 41535.76129032 sorted
41537 13846 41529 41536 41536.87373272 sorted
41538 13846 41530 41537 41537.98894009 sorted
41539 13847 41530 41538 41538.98894009 sorted
41540 13847 41531 41540 41540.10322581 sorted
41541 13847 41533 41541 41541.21843318 sorted
41542 13848 41536 41541 41541.91861472 sorted
41543 13848 41537 41542 41542.91861472 sorted
41544 13848 41538 41544 41544.03376623 sorted
41545 13849 41540 41544 41544.83405483 sorted
41546 13849 41541 41545 41545.90678211 sorted
41547 13849 41542 41547 41547.02193362 sorted
41548 13850 41542 41547 41547.84184704 sorted
41549 13850 41543 41548 41548.84184704 sorted
41550 13850 41544 41549 41549.95699856 sorted
41551 13851 41545 41550 41550.80634921 sorted
41552 13851 41547 41551 41551.92034632 sorted
41553 13851 41548 41553 41553.03549784 sorted
41554 13852 41546 41553 41553.93085881 sorted
41555 13852 41549 41555 41555.02692868 sorted
41556 13852 41548 41556 41556.14192140 sorted
41557 13853 41549 41556 41556.97307132 sorted
41558 13853 41552 41558 41558.07933042 sorted
41559 13853 41552 41559 41559.19432314 sorted
41560 13854 41552 41559 41559.99927220 sorted
41561 13854 41551 41561 41561.11426492 sorted
41562 13854 41556 41562 41562.22925764 sorted
41563 13855 41555 41563 41563.05458515 sorted
41564 13855 41556 41564 41564.12736536 sorted
41565 13855 41557 41565 41565.24235808 sorted
41566 13856 41558 41565 41565.97743814 sorted
41567 13856 41559 41567 41567.09097525 sorted
41568 13856 41561 41568 41568.20596798 sorted
41569 13857 41563 41569 41569.03275109 sorted
41570 13857 41561 41570 41570.12882096 sorted
41571 13857 41563 41571 41571.24381368 sorted
41572 13858 41566 41571 41571.94832606 sorted
41573 13858 41566 41573 41573.03711790 sorted
41574 13858 41565 41574 41574.15211063 sorted
41575 13859 41568 41575 41575.19437421 sorted
41576 13859 41568 41576 41576.29740834 sorted
41577 13859 41569 41577 41577.41245259 sorted
41578 13860 41570 41578 41578.26706700 sorted
41579 13860 41572 41579 41579.26706700 sorted
41580 13860 41572 41580 41580.38211125 sorted
41581 13861 41574 41580 41580.96320755 sorted
41582 13861 41575 41582 41582.07264151 sorted
41583 13861 41575 41583 41583.18773585 sorted
41584 13862 41577 41584 41584.03863766 sorted
41585 13862 41578 41585 41585.13480252 sorted
41586 13862 41579 41586 41586.24985690 sorted
41587 13863 41579 41586 41586.99084145 sorted
41588 13863 41581 41588 41588.10417859 sorted
41589 13863 41581 41589 41589.21923297 sorted
41590 13864 41582 41590 41590.04235833 sorted
41591 13864 41584 41591 41591.15684030 sorted
41592 13864 41585 41592 41592.27189468 sorted
41593 13865 41585 41592 41592.98340011 sorted
41594 13865 41588 41594 41594.09101317 sorted
41595 13865 41588 41595 41595.20606754 sorted
41596 13866 41587 41595 41595.57663317 sorted
41597 13866 41588 41596 41596.57663317 sorted
41598 13866 41588 41597 41597.69221106 sorted
41599 13867 41589 41598 41598.52889447 sorted
41600 13867 41591 41599 41599.64447236 sorted
41601 13867 41594 41600 41600.76005025 sorted
41602 13868 41592 41601 41601.50376884 sorted
41603 13868 41593 41602 41602.50376884 sorted
41604 13868 41595 41603 41603.61934673 sorted
41605 13869 41596 41604 41604.46231156 sorted
41606 13869 41596 41605 41605.57537688 sorted
41607 13869 41599 41606 41606.69095477 sorted
41608 13870 41600 41607 41607.53327855 sorted
41609 13870 41601 41608 41608.53327855 sorted
41610 13870 41602 41609 41609.64831553 sorted
41611 13871 41603 41610 41610.08989899 sorted
41612 13871 41602 41611 41611.20505051 sorted
41613 13871 41603 41612 41612.32020202 sorted
41614 13872 41606 41612 41612.95555556 sorted
41615 13872 41606 41614 41614.06969697 sorted
41616 13872 41609 41615 41615.18484848 sorted
41617 13873 41610 41616 41616.18484848 sorted
41618 13873 41611 41617 41617.25757576 sorted
41619 13873 41611 41618 41618.37272727 sorted
41620 13874 41614 41619 41619.26464646 sorted
41621 13874 41614 41620 41620.26464646 sorted
41622 13874 41614 41621 41621.37979798 sorted
41623 13875 41613 41622 41622.19696970 sorted
41624 13875 41617 41623 41623.31313131 sorted
41625 13875 41616 41624 41624.42828283 sorted
41626 13876 41616 41625 41625.16732804 sorted
41627 13876 41616 41626 41626.16732804 sorted
41628 13876 41619 41627 41627.28240741 sorted
41629 13877 41618 41628 41628.11838624 sorted
41630 13877 41619 41629 41629.23346561 sorted
41631 13877 41621 41630 41630.34854497 sorted
41632 13878 41623 41631 41631.24272487 sorted
41633 13878 41624 41632 41632.35714286 sorted
41634 13878 41626 41633 41633.47222222 sorted
41635 13879 41627 41634 41634.26190476 sorted
41636 13879 41627 41635 41635.36970899 sorted
41637 13879 41627 41636 41636.48478836 sorted
41638 13880 41629 41637 41637.38161376 sorted
41639 13880 41630 41638 41638.48214286 sorted
41640 13880 41631 41639 41639.59722222 sorted
41641 13881 41631 41640 41640.35912698 sorted
41642 13881 41633 41641 41641.47156085 sorted
41643 13881 41634 41642 41642.58664021 sorted
41644 13882 41635 41643 41643.36706349 sorted
41645 13882 41635 41644 41644.46296296 sorted
41646 13882 41636 41645 41645.57804233 sorted
41647 13883 41637 41646 41646.27248677 sorted
41648 13883 41640 41647 41647.38756614 sorted
41649 13883 41639 41648 41648.50264550 sorted
41650 13884 41642 41649 41649.39880952 sorted
41651 13884 41643 41650 41650.39880952 sorted
41652 13884 41644 41651 41651.51388889 sorted
41653 13885 41645 41652 41652.48743386 sorted
41654 13885 41645 41653 41653.60052910 sorted
41655 13885 41647 41654 41654.71560847 sorted
41656 13886 41647 41655 41655.54232804 sorted
41657 13886 41647 41656 41656.65542328 sorted
41658 13886 41648 41657 41657.77050265 sorted
41659 13887 41650 41658 41658.34971098 sorted
41660 13887 41650 41659 41659.46001927 sorted
41661 13887 41652 41660 41660.57514451 sorted
41662 13888 41653 41661 41661.39017341 sorted
41663 13888 41655 41662 41662.50192678 sorted
41664 13888 41655 41663 41663.61705202 sorted
41665 13889 41656 41664 41664.73025048 sorted
41666 13889 41657 41665 41665.84393064 sorted
41667 13889 41657 41666 41666.95905588 sorted
41668 13890 41660 41667 41667.60108605 sorted
41669 13890 41660 41668 41668.60108605 sorted
41670 13890 41661 41669 41669.71637427 sorted
41671 13891 41663 41670 41670.53838384 sorted
41672 13891 41663 41671 41671.64141414 sorted
41673 13891 41664 41672 41672.75656566 sorted
41674 13892 41666 41673 41673.51919192 sorted
41675 13892 41666 41674 41674.62626263 sorted
41676 13892 41667 41675 41675.74141414 sorted
41677 13893 41669 41676 41676.57474747 sorted
41678 13893 41670 41677 41677.68888889 sorted
41679 13893 41670 41678 41678.80404040 sorted
41680 13894 41670 41679 41679.61818182 sorted
41681 13894 41672 41680 41680.61818182 sorted
41682 13894 41675 41681 41681.73333333 sorted
41683 13895 41675 41682 41682.58989899 sorted
41684 13895 41675 41683 41683.70404040 sorted
41685 13895 41676 41684 41684.81919192 sorted
41686 13896 41678 41685 41685.61313131 sorted
41687 13896 41678 41686 41686.61313131 sorted
41688 13896 41680 41687 41687.72828283 sorted
41689 13897 41680 41688 41688.84040404 sorted
41690 13897 41681 41689 41689.95454545 sorted
41691 13897 41682 41691 41691.06969697 sorted
41692 13898 41684 41691 41691.86262626 sorted
41693 13898 41685 41692 41692.97676768 sorted
41694 13898 41687 41694 41694.09191919 sorted
41695 13899 41686 41694 41694.95151515 sorted
41696 13899 41689 41696 41696.06363636 sorted
41697 13899 41689 41697 41697.17878788 sorted
41698 13900 41690 41697 41697.87575757 sorted
41699 13900 41691 41698 41698.99090909 sorted
41700 13900 41693 41700 41700.10606061 sorted
41701 13901 41694 41700 41700.83184855 sorted
41702 13901 41694 41701 41701.94320713 sorted
41703 13901 41695 41703 41703.05827765 sorted
41704 13902 41696 41703 41703.95434298 sorted
41705 13902 41698 41705 41705.06718634 sorted
41706 13902 41698 41706 41706.18225687 sorted
41707 13903 41699 41707 41707.01596140 sorted
41708 13903 41700 41708 41708.08871566 sorted
41709 13903 41701 41709 41709.20378619 sorted
41710 13904 41701 41710 41710.09985152 sorted
41711 13904 41702 41711 41711.21269488 sorted
41712 13904 41705 41712 41712.32813660 sorted
41713 13905 41705 41713 41713.44357832 sorted
41714 13905 41705 41714 41714.51633259 sorted
41715 13905 41707 41715 41715.63140312 sorted
41716 13906 41709 41716 41716.09836674 sorted
41717 13906 41709 41717 41717.19858946 sorted
41718 13906 41710 41718 41718.31365999 sorted
41719 13907 41711 41719 41719.01076466 sorted
41720 13907 41712 41720 41720.12583519 sorted
41721 13907 41714 41721 41721.24090572 sorted
41722 13908 41713 41722 41722.13251670 sorted
41723 13908 41714 41723 41723.23867854 sorted
41724 13908 41716 41724 41724.35374907 sorted
41725 13909 41717 41725 41725.00516566 sorted
41726 13909 41716 41726 41726.11881012 sorted
41727 13909 41719 41727 41727.23387959 sorted
41728 13910 41718 41728 41728.05646598 sorted
41729 13910 41719 41729 41729.05646598 sorted
41730 13910 41721 41730 41730.17153545 sorted
41731 13911 41722 41731 41731.15336658 sorted
41732 13911 41724 41732 41732.22604204 sorted
41733 13911 41726 41733 41733.34111151 sorted
41734 13912 41725 41734 41734.18257927 sorted
41735 13912 41725 41735 41735.29515497 sorted
41736 13912 41727 41736 41736.41022444 sorted
41737 13913 41729 41737 41737.20890411 sorted
41738 13913 41731 41738 41738.32123288 sorted
41739 13913 41731 41739 41739.43630137 sorted
41740 13914 41733 41740 41740.32808219 sorted
41741 13914 41735 41741 41741.44315068 sorted
41742 13914 41735 41742 41742.55821918 sorted
41743 13915 41737 41743 41743.37602740 sorted
41744 13915 41738 41744 41744.47876712 sorted
41745 13915 41738 41745 41745.59383562 sorted
41746 13916 41740 41745 41745.98961424 sorted
41747 13916 41741 41747 41747.10237389 sorted
41748 13916 41741 41748 41748.21735905 sorted
41749 13917 41742 41749 41749.12668810 sorted
41750 13917 41742 41750 41750.24051447 sorted
41751 13917 41743 41751 41751.35562701 sorted
41752 13918 41744 41752 41752.19807074 sorted
41753 13918 41746 41753 41753.30868167 sorted
41754 13918 41746 41754 41754.42379421 sorted
41755 13919 41747 41755 41755.28102894 sorted
41756 13919 41748 41756 41756.39485531 sorted
41757 13919 41750 41757 41757.50996785 sorted
41758 13920 41751 41758 41758.28360129 sorted
41759 13920 41751 41759 41759.28360129 sorted
41760 13920 41751 41760 41760.39871383 sorted
41761 13921 41753 41761 41761.39871383 sorted
41762 13921 41753 41762 41762.51414791 sorted
41763 13921 41756 41763 41763.62926045 sorted
41764 13922 41755 41764 41764.52636656 sorted
41765 13922 41757 41765 41765.62218650 sorted
41766 13922 41757 41766 41766.73729904 sorted
41767 13923 41759 41767 41767.58810289 sorted
41768 13923 41760 41768 41768.70128617 sorted
41769 13923 41762 41769 41769.81639871 sorted
41770 13924 41762 41770 41770.74432474 sorted
41771 13924 41763 41771 41771.74432474 sorted
41772 13924 41764 41772 41772.85936899 sorted
41773 13925 41766 41773 41773.83801462 sorted
41774 13925 41767 41774 41774.91073490 sorted
41775 13925 41769 41776 41776.02577915 sorted
41776 13926 41769 41776 41776.82185456 sorted
41777 13926 41770 41777 41777.82185456 sorted
41778 13926 41771 41778 41778.93689881 sorted
41779 13927 41772 41779 41779.66833397 sorted
41780 13927 41772 41780 41780.77837630 sorted
41781 13927 41775 41781 41781.89342055 sorted
41782 13928 41775 41782 41782.69750676 sorted
41783 13928 41776 41783 41783.81338977 sorted
41784 13928 41778 41784 41784.92843401 sorted
41785 13929 41778 41785 41785.75458096 sorted
41786 13929 41779 41786 41786.86392310 sorted
41787 13929 41780 41787 41787.97897266 sorted
41788 13930 41782 41788 41788.81976570 sorted
41789 13930 41782 41789 41789.93481526 sorted
41790 13930 41783 41791 41791.04986482 sorted
41791 13931 41785 41791 41791.91108441 sorted
41792 13931 41786 41793 41793.02373085 sorted
41793 13931 41787 41794 41794.13878041 sorted
41794 13932 41786 41794 41794.99339141 sorted
41795 13932 41789 41796 41796.10693902 sorted
41796 13932 41790 41797 41797.22198858 sorted
41797 13933 41792 41798 41798.07769196 sorted
41798 13933 41793 41799 41799.15038619 sorted
41799 13933 41794 41800 41800.26533394 sorted
41800 13934 41794 41801 41801.16174466 sorted
41801 13934 41794 41802 41802.16174466 sorted
41802 13934 41797 41803 41803.27669241 sorted
41803 13935 41798 41804 41804.13266697 sorted
41804 13935 41798 41805 41805.24079964 sorted
41805 13935 41800 41806 41806.35574739 sorted
41806 13936 41802 41807 41807.10131758 sorted
41807 13936 41801 41808 41808.21490232 sorted
41808 13936 41803 41809 41809.32985007 sorted
41809 13937 41805 41810 41810.20484171 sorted
41810 13937 41804 41811 41811.31890130 sorted
41811 13937 41805 41812 41812.43389199 sorted
41812 13938 41808 41813 41813.18249534 sorted
41813 13938 41809 41814 41814.18249534 sorted
41814 13938 41808 41815 41815.29748603 sorted
41815 13939 41811 41816 41816.17737430 sorted
41816 13939 41812 41817 41817.28026071 sorted
41817 13939 41813 41818 41818.39525140 sorted
41818 13940 41812 41819 41819.28770950 sorted
41819 13940 41814 41820 41820.40316574 sorted
41820 13940 41814 41821 41821.51815642 sorted
41821 13941 41817 41821 41821.64002933 sorted
41822 13941 41817 41822 41822.74633431 sorted
41823 13941 41818 41823 41823.86143695 sorted
41824 13942 41819 41824 41824.67595308 sorted
41825 13942 41822 41825 41825.78958944 sorted
41826 13942 41822 41826 41826.90469208 sorted
41827 13943 41823 41827 41827.76319648 sorted
41828 13943 41824 41828 41828.83577713 sorted
41829 13943 41824 41829 41829.95087977 sorted
41830 13944 41824 41830 41830.58137830 sorted
41831 13944 41826 41831 41831.69501466 sorted
41832 13944 41828 41832 41832.81011730 sorted
41833 13945 41827 41833 41833.51875000 sorted
41834 13945 41828 41834 41834.63000000 sorted
41835 13945 41830 41835 41835.74500000 sorted
41836 13946 41830 41836 41836.53625000 sorted
41837 13946 41831 41837 41837.65000000 sorted
41838 13946 41831 41838 41838.76500000 sorted
41839 13947 41833 41839 41839.59500000 sorted
41840 13947 41832 41840 41840.70875000 sorted
41841 13947 41835 41841 41841.82375000 sorted
41842 13948 41836 41842 41842.62625000 sorted
41843 13948 41837 41843 41843.62625000 sorted
41844 13948 41838 41844 41844.74125000 sorted
41845 13949 41838 41845 41845.50750000 sorted
41846 13949 41839 41846 41846.62125000 sorted
41847 13949 41843 41847 41847.73625000 sorted
41848 13950 41843 41848 41848.48665955 sorted
41849 13950 41843 41849 41849.48665955 sorted
41850 13950 41844 41850 41850.60245464 sorted
41851 13951 41845 41851 41851.60245464 sorted
41852 13951 41846 41852 41852.67502668 sorted
41853 13951 41847 41853 41853.79028815 sorted
41854 13952 41848 41854 41854.60725720 sorted
41855 13952 41849 41855 41855.71878335 sorted
41856 13952 41849 41856 41856.83404482 sorted
41857 13953 41848 41857 41857.31910352 sorted
41858 13953 41851 41858 41858.39167556 sorted
41859 13953 41854 41859 41859.50693703 sorted
41860 13954 41853 41860 41860.35272145 sorted
41861 13954 41855 41861 41861.46478122 sorted
41862 13954 41856 41862 41862.58004269 sorted
41863 13955 41858 41863 41863.32390608 sorted
41864 13955 41859 41864 41864.42636073 sorted
41865 13955 41858 41865 41865.54162220 sorted
41866 13956 41859 41866 41866.36766275 sorted
41867 13956 41862 41867 41867.45624333 sorted
41868 13956 41861 41868 41868.57150480 sorted
41869 13957 41864 41869 41869.39807898 sorted
41870 13957 41863 41870 41870.51227321 sorted
41871 13957 41866 41871 41871.62753469 sorted
41872 13958 41867 41872 41872.37620064 sorted
41873 13958 41867 41873 41873.47598719 sorted
41874 13958 41868 41874 41874.59124867 sorted
41875 13959 41869 41875 41875.39220918 sorted
41876 13959 41871 41876 41876.50640342 sorted
41877 13959 41871 41877 41877.62166489 sorted
41878 13960 41873 41878 41878.41500000 sorted
41879 13960 41873 41879 41879.41500000 sorted
41880 13960 41872 41880 41880.53000000 sorted
41881 13961 41875 41881 41881.34375000 sorted
41882 13961 41875 41882 41882.45750000 sorted
41883 13961 41877 41883 41883.57250000 sorted
41884 13962 41877 41884 41884.42750000 sorted
41885 13962 41880 41885 41885.52375000 sorted
41886 13962 41880 41886 41886.63875000 sorted
41887 13963 41879 41887 41887.34500000 sorted
41888 13963 41883 41888 41888.45875000 sorted
41889 13963 41884 41889 41889.57375000 sorted
41890 13964 41883 41890 41890.47125000 sorted
41891 13964 41885 41891 41891.58500000 sorted
41892 13964 41889 41892 41892.70000000 sorted
41893 13965 41887 41893 41893.41500000 sorted
41894 13965 41889 41894 41894.48750000 sorted
41895 13965 41887 41895 41895.60250000 sorted
41896 13966 41891 41896 41896.40042076 sorted
41897 13966 41892 41897 41897.40042076 sorted
41898 13966 41893 41898 41898.51542777 sorted
41899 13967 41894 41899 41899.37552595 sorted
41900 13967 41895 41900 41900.48913043 sorted
41901 13967 41895 41901 41901.60413745 sorted
41902 13968 41896 41902 41902.50140252 sorted
41903 13968 41898 41903 41903.50140252 sorted
41904 13968 41899 41904 41904.61640954 sorted
41905 13969 41900 41905 41905.40552326 sorted
41906 13969 41900 41906 41906.51598837 sorted
41907 13969 41903 41907 41907.63081395 sorted
41908 13970 41902 41908 41908.33125000 sorted
41909 13970 41903 41909 41909.42000000 sorted
41910 13970 41907 41910 41910.53500000 sorted
41911 13971 41906 41911 41911.12000000 sorted
41912 13971 41907 41912 41912.23500000 sorted
