40200: [40196, 40198.06578947369]
40201: [40198, 40198.85442220788]
40202: [40199, 40199.92737249839]
40203: [40200, 40201.04293092318]
40204: [40200, 40201.86152356359]
40205: [40202, 40202.97643641059]
40206: [40203, 40204.09199483538]
40207: [40204, 40204.945125887665]
40208: [40206, 40206.05939315687]
40209: [40206, 40207.17495158166]
40210: [40207, 40207.96901226598]
40211: [40208, 40209.08263395739]
40212: [40209, 40210.19819238218]
40213: [40210, 40210.896061975465]
40214: [40211, 40211.96901226598]
40215: [40212, 40213.08457069077]
40216: [40213, 40213.85926404131]
40217: [40214, 40214.97482246611]
40218: [40216, 40216.0903808909]
40219: [40216, 40216.944480309874]
40220: [40217, 40218.054874112335]
40221: [40218, 40219.170432537125]
40222: [40219, 40219.92511297612]
40223: [40220, 40221.039703034214]
40224: [40221, 40222.155261459004]
40225: [40222, 40222.95255003228]
40226: [40223, 40224.02550032279]
40227: [40225, 40225.14105874758]
40228: [40224, 40226.256617172374]
40229: [40227, 40227.3683021304]
40230: [40228, 40228.4838605552]
40231: [40228, 40229.13395739187]
40232: [40229, 40230.248870238865]
40233: [40230, 40231.364428663655]
40234: [40231, 40232.21852808263]
40235: [40233, 40233.33214977405]
40236: [40234, 40234.44770819884]
40237: [40234, 40235.149451258876]
40238: [40236, 40236.26533247256]
40239: [40236, 40237.38089089735]
40240: [40237, 40238.10006455778]
40241: [40238, 40239.10006455778]
40242: [40239, 40240.21562298257]
40243: [40240, 40240.93673337637]
40244: [40241, 40242.00968366688]
40245: [40242, 40243.12524209167]
40246: [40243, 40243.90768237572]
40247: [40244, 40245.02194964493]
40248: [40245, 40246.13750806972]
40249: [40246, 40246.952256944445]
40250: [40247, 40248.06770833333]
40251: [40249, 40249.18315972222]
40252: [40249, 40250.078993055555]
40253: [40250, 40251.078993055555]
40254: [40251, 40252.194444444445]
40255: [40252, 40253.053819444445]
40256: [40253, 40254.16840277778]
40257: [40254, 40255.283854166664]
40258: [40255, 40256.32177033493]
40259: [40257, 40257.43600478469]
40260: [40258, 40258.5514354067]
40261: [40259, 40259.66507177034]
40262: [40260, 40260.778110047846]
40263: [40261, 40261.89354066986]
40264: [40262, 40262.78887559809]
40265: [40263, 40263.88516746412]
40266: [40264, 40265.000598086124]
40267: [40265, 40265.82206937799]
40268: [40266, 40266.895035885165]
40269: [40267, 40268.01046650718]
40270: [40268, 40268.77302631579]
40271: [40269, 40269.88726076555]
40272: [40270, 40271.00269138756]
40273: [40271, 40271.82984449761]
